Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A
1,2021,32,337.3,519.2,65,3464.4,22.9,4.4,12.3,2.4,7.1,6.9,11,231,90.8,34.1,234.5,6.2,6.26,6.1
2,2020,32,367.4,563.1,65.2,3842.4,27.2,4.8,12.3,2.2,7.2,7.2,11.1,240.2,93.6,35.5,235.7,5.9,6.42,6.4
3,2019,32,354.1,557.9,63.5,3759.4,24.9,4.5,12.8,2.3,7.2,7.1,11.4,235,90.4,39.9,269.1,6.7,6.29,6.2
4,2018,32,358.2,552.2,64.9,3804.3,26.5,4.8,13.1,2.4,7.4,7.3,11.4,237.8,92.9,40,266.6,6.8,6.42,6.3
5,2017,32,339.3,546.5,62.1,3589.7,23.2,4.2,13.4,2.5,7,6.8,11.3,224.4,86.9,37.3,244.1,6.4,6.15,5.9
6,2016,32,360.2,571.7,63,3863.7,24.6,4.3,13,2.3,7.2,7,11.4,241.5,89.3,34.9,225.8,5.8,6.37,6.2
7,2015,32,360.2,571.8,63,3901.3,26.3,4.6,13.6,2.4,7.3,7.1,11.5,243.8,90.2,37.1,245.3,6.1,6.41,6.3
8,2014,32,350,558.7,62.6,3789,25.2,4.5,14.1,2.5,7.2,7,11.5,236.8,88.9,37.9,239.1,6.3,6.35,6.1
9,2013,32,346.9,566.8,61.2,3769.6,25.1,4.4,15.7,2.8,7.1,6.8,11.6,235.6,86,40.5,267.2,6.7,6.21,5.9
10,2012,32,338.5,555.9,60.9,3700.6,23.7,4.3,14.6,2.6,7.1,6.7,11.6,231.3,85.6,36.5,235.4,6.2,6.25,5.9
11,2011,32,327,544.1,60.1,3675,23.3,4.3,15.8,2.9,7.2,6.7,12,229.7,84.3,37.1,241.5,6.4,6.32,5.9
12,2010,32,327.8,539.7,60.8,3545.3,23.5,4.3,16,3,7,6.5,11.5,221.6,84.1,35.3,234.8,6.1,6.17,5.7
13,2009,32,324.1,532.3,60.9,3495.3,22.2,4.2,16.4,3.1,7,6.4,11.5,218.5,83,34.4,220.8,6.1,6.17,5.6
14,2008,32,315,516.4,61,3380.5,20.2,3.9,14.5,2.8,6.9,6.5,11.4,211.3,83.2,32.4,205.9,5.9,6.16,5.7
15,2007,32,325.8,532.7,61.2,3428.8,22.5,4.2,16.7,3.1,6.9,6.3,11.2,214.3,82.6,34.4,223.5,6.1,6.05,5.5
16,2006,32,306.1,512.2,59.8,3276.9,20.3,4,16.3,3.2,6.9,6.2,11.5,204.8,80.4,36.4,231.8,6.6,5.97,5.4
17,2005,32,305.9,514.5,59.5,3255.3,20.1,3.9,15.8,3.1,6.8,6.2,11.4,203.5,80.1,36.9,236,6.7,5.9,5.3
18,2004,32,305.4,511.1,59.8,3368.7,22.9,4.5,16.4,3.2,7.1,6.5,11.8,210.5,82.8,37.4,235.7,6.8,6.14,5.6
19,2003,32,303,515.4,58.8,3207.1,20.4,4,16.8,3.3,6.6,6,11.3,200.4,78.3,34.1,213.7,6.2,5.84,5.2
20,2002,32,322.3,540.4,59.6,3395.7,21.7,4,16.5,3.1,6.7,6.1,11.3,212.2,80.4,36.7,235.6,6.4,5.88,5.3
21,2001,31,307.8,522,59,3292.9,20.5,3.9,17.6,3.4,6.8,6,11.5,205.8,78.5,38.6,243.8,6.9,5.87,5.2
22,2000,31,306.4,526.5,58.2,3309.9,20.5,3.9,17.1,3.3,6.7,6.1,11.6,206.9,78.1,39.7,242.7,7,5.85,5.2
23,1999,31,308.6,540.6,57.1,3396.4,21.5,4,18.1,3.4,6.8,6,11.8,212.3,77.1,40.3,256.9,6.9,5.85,5.2
24,1998,30,292.2,516.3,56.6,3279.5,21.9,4.2,17,3.3,6.8,6.2,12.1,205,78.3,40.2,256.7,7.2,5.89,5.3
25,1997,30,294.8,524.3,56.2,3229.2,20.6,3.9,16,3,6.7,6.1,11.9,201.8,77.2,41.7,280.4,7.4,5.7,5.2
26,1996,30,306.6,532.2,57.6,3318.9,20.9,3.9,18.1,3.4,6.7,5.9,11.6,207.4,76.9,36.9,236.5,6.5,5.83,5.1
27,1995,30,323.9,556.6,58.2,3532.5,22.1,4,17.1,3.1,6.8,6.2,11.6,220.8,79.2,35.9,236.4,6.1,5.96,5.4
28,1994,28,312.1,537.7,58,3417.6,20.8,3.9,16.9,3.1,6.8,6.1,11.7,213.6,78.4,33.5,221.1,5.9,5.98,5.4
29,1993,28,298.3,514.8,57.9,3209.8,18.5,3.6,16.8,3.3,6.7,5.9,11.6,200.6,76.7,37.7,236.3,6.8,5.81,5.1
30,1992,28,275.2,478.9,57.5,3002.3,18.4,3.8,18.5,3.9,6.9,5.9,11.9,187.6,75.3,40.7,283.8,7.8,5.78,4.9
31,1991,28,285.8,498.2,57.4,3185.8,18.3,3.7,17.4,3.5,6.9,6,12,199.1,76.2,35.4,246.3,6.6,5.97,5.2
32,1990,28,270.4,482.7,56,3116,20.5,4.3,17.1,3.6,7,6.3,12.5,194.8,77.3,38.1,266.1,7.3,5.98,5.3
33,1989,28,285.7,512.1,55.8,3374.1,20.8,4.1,20,3.9,7.1,6.2,12.8,210.9,75.6,39.5,285.1,7.2,6.12,5.2
34,1988,28,273.9,504.7,54.3,3210.5,19.9,3.9,19.8,3.9,6.9,5.9,12.7,200.7,72.9,37,276.4,6.8,5.93,5
35,1987,28,264.1,481.8,54.8,3058.8,21.8,4.5,19.3,4,7,6.1,12.7,203.9,75.2,39.5,294.1,7.6,5.87,5
36,1986,28,286.2,516.8,55.4,3288.6,20.9,4.1,20.8,4,7,6,12.6,205.5,74.1,42.8,323.1,7.6,5.88,5
37,1985,28,282.5,515.1,54.8,3272.2,21.4,4.1,21.5,4.2,7,6,12.8,204.5,73.5,46.6,353.4,8.3,5.83,4.9
38,1984,28,288.4,511.6,56.4,3294.2,22,4.3,20.9,4.1,7.1,6.2,12.7,205.9,76.1,46.9,357,8.4,5.9,5
39,1983,28,285.5,501.7,56.9,3274,22.3,4.4,22.1,4.4,7.2,6.1,12.6,204.6,75.9,43.4,330.3,8,6.01,5
40,1982,28,159.8,283.3,56.4,1794.9,11.4,4,12.5,4.4,7,5.8,12.4,199.4,73.4,24,192.9,7.8,5.84,4.8
41,1981,28,276.6,506.4,54.6,3269.8,21.1,4.2,21.8,4.3,7,5.9,12.9,204.4,72.9,36.5,291.7,6.7,6.02,5
42,1980,28,275,489.5,56.2,3135.3,21.6,4.4,22.4,4.6,7,5.8,12.5,196,73.7,36.8,291,7,5.96,4.9
43,1979,28,250.8,463.5,54.1,2886,19.2,4.1,21.3,4.6,6.9,5.6,12.7,180.4,70.4,37.8,298.6,7.5,5.76,4.6
44,1978,28,224.2,422.5,53.1,2541.4,16.7,4,22.8,5.4,6.7,5.1,12.7,158.8,65,36.5,300,7.9,5.54,4
