Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A
1,2021,32,10795,16615,65,110860,733,4.4,392,2.4,7.1,6.9,11,231,90.8,1091,7504,6.2,6.26,6.1
2,2020,32,11756,18018,65.2,122957,871,4.8,395,2.2,7.2,7.2,11.1,240.2,93.6,1135,7543,5.9,6.42,6.4
3,2019,32,11331,17853,63.5,120301,797,4.5,410,2.3,7.2,7.1,11.4,235,90.4,1276,8610,6.7,6.29,6.2
4,2018,32,11462,17671,64.9,121737,847,4.8,419,2.4,7.4,7.3,11.4,237.8,92.9,1281,8530,6.8,6.42,6.3
5,2017,32,10856,17488,62.1,114870,741,4.2,430,2.5,7,6.8,11.3,224.4,86.9,1195,7810,6.4,6.15,5.9
6,2016,32,11526,18295,63,123639,786,4.3,415,2.3,7.2,7,11.4,241.5,89.3,1118,7225,5.8,6.37,6.2
7,2015,32,11527,18298,63,124843,842,4.6,436,2.4,7.3,7.1,11.5,243.8,90.2,1187,7850,6.1,6.41,6.3
8,2014,32,11200,17879,62.6,121247,807,4.5,450,2.5,7.2,7,11.5,236.8,88.9,1212,7651,6.3,6.35,6.1
9,2013,32,11102,18136,61.2,120626,804,4.4,502,2.8,7.1,6.8,11.6,235.6,86,1295,8551,6.7,6.21,5.9
10,2012,32,10833,17788,60.9,118418,757,4.3,468,2.6,7.1,6.7,11.6,231.3,85.6,1169,7533,6.2,6.25,5.9
11,2011,32,10464,17410,60.1,117601,745,4.3,506,2.9,7.2,6.7,12,229.7,84.3,1188,7729,6.4,6.32,5.9
12,2010,32,10491,17269,60.8,113450,751,4.3,511,3,7,6.5,11.5,221.6,84.1,1130,7514,6.1,6.17,5.7
13,2009,32,10372,17033,60.9,111851,710,4.2,525,3.1,7,6.4,11.5,218.5,83,1101,7066,6.1,6.17,5.6
14,2008,32,10081,16526,61,108177,646,3.9,465,2.8,6.9,6.5,11.4,211.3,83.2,1036,6589,5.9,6.16,5.7
15,2007,32,10425,17045,61.2,109722,720,4.2,534,3.1,6.9,6.3,11.2,214.3,82.6,1102,7152,6.1,6.05,5.5
16,2006,32,9796,16389,59.8,104861,648,4,520,3.2,6.9,6.2,11.5,204.8,80.4,1164,7416,6.6,5.97,5.4
17,2005,32,9790,16464,59.5,104168,644,3.9,506,3.1,6.8,6.2,11.4,203.5,80.1,1182,7553,6.7,5.9,5.3
18,2004,32,9772,16354,59.8,107797,732,4.5,524,3.2,7.1,6.5,11.8,210.5,82.8,1196,7541,6.8,6.14,5.6
19,2003,32,9695,16493,58.8,102628,654,4,538,3.3,6.6,6,11.3,200.4,78.3,1092,6839,6.2,5.84,5.2
20,2002,32,10314,17292,59.6,108661,694,4,528,3.1,6.7,6.1,11.3,212.2,80.4,1175,7540,6.4,5.88,5.3
21,2001,31,9542,16181,59,102080,635,3.9,545,3.4,6.8,6,11.5,205.8,78.5,1196,7559,6.9,5.87,5.2
22,2000,31,9497,16322,58.2,102606,634,3.9,531,3.3,6.7,6.1,11.6,206.9,78.1,1232,7525,7,5.85,5.2
23,1999,31,9567,16760,57.1,105289,665,4,562,3.4,6.8,6,11.8,212.3,77.1,1249,7965,6.9,5.85,5.2
24,1998,30,8766,15489,56.6,98384,658,4.2,509,3.3,6.8,6.2,12.1,205,78.3,1207,7702,7.2,5.89,5.3
25,1997,30,8844,15729,56.2,96875,617,3.9,479,3,6.7,6.1,11.9,201.8,77.2,1252,8413,7.4,5.7,5.2
26,1996,30,9198,15966,57.6,99567,626,3.9,542,3.4,6.7,5.9,11.6,207.4,76.9,1106,7094,6.5,5.83,5.1
27,1995,30,9717,16699,58.2,105976,663,4,512,3.1,6.8,6.2,11.6,220.8,79.2,1076,7093,6.1,5.96,5.4
28,1994,28,8739,15056,58,95694,583,3.9,474,3.1,6.8,6.1,11.7,213.6,78.4,937,6190,5.9,5.98,5.4
29,1993,28,8351,14414,57.9,89874,517,3.6,469,3.3,6.7,5.9,11.6,200.6,76.7,1055,6616,6.8,5.81,5.1
30,1992,28,7705,13408,57.5,84064,516,3.8,519,3.9,6.9,5.9,11.9,187.6,75.3,1140,7947,7.8,5.78,4.9
31,1991,28,8003,13950,57.4,89203,511,3.7,488,3.5,6.9,6,12,199.1,76.2,992,6897,6.6,5.97,5.2
32,1990,28,7572,13516,56,87249,575,4.3,480,3.6,7,6.3,12.5,194.8,77.3,1068,7451,7.3,5.98,5.3
33,1989,28,8000,14338,55.8,94474,582,4.1,559,3.9,7.1,6.2,12.8,210.9,75.6,1105,7982,7.2,6.12,5.2
34,1988,28,7670,14131,54.3,89895,556,3.9,553,3.9,6.9,5.9,12.7,200.7,72.9,1035,7740,6.8,5.93,5
35,1987,28,7396,13491,54.8,85646,611,4.5,540,4,7,6.1,12.7,203.9,75.2,1106,8236,7.6,5.87,5
36,1986,28,8014,14469,55.4,92081,586,4.1,581,4,7,6,12.6,205.5,74.1,1198,9047,7.6,5.88,5
37,1985,28,7911,14423,54.8,91622,598,4.1,602,4.2,7,6,12.8,204.5,73.5,1306,9896,8.3,5.83,4.9
38,1984,28,8076,14325,56.4,92238,615,4.3,584,4.1,7.1,6.2,12.7,205.9,76.1,1313,9995,8.4,5.9,5
39,1983,28,7993,14047,56.9,91673,625,4.4,620,4.4,7.2,6.1,12.6,204.6,75.9,1215,9249,8,6.01,5
40,1982,28,4474,7933,56.4,50256,320,4,349,4.4,7,5.8,12.4,199.4,73.4,673,5401,7.8,5.84,4.8
41,1981,28,7745,14180,54.6,91553,591,4.2,609,4.3,7,5.9,12.9,204.4,72.9,1021,8168,6.7,6.02,5
42,1980,28,7699,13705,56.2,87788,606,4.4,627,4.6,7,5.8,12.5,196,73.7,1031,8147,7,5.96,4.9
43,1979,28,7022,12979,54.1,80809,538,4.1,597,4.6,6.9,5.6,12.7,180.4,70.4,1057,8361,7.5,5.76,4.6
44,1978,28,6278,11829,53.1,71158,468,4,639,5.4,6.7,5.1,12.7,158.8,65,1021,8399,7.9,5.54,4
45,1977,28,5022,9786,51.3,55620,388,4,562,5.7,6.5,4.7,12.7,141.9,61.2,955,7974,8.9,5.18,3.5
46,1976,28,5351,10260,52.2,59596,432,4.2,497,4.8,6.6,5.3,12.7,152,67,1024,8394,9.1,5.28,4.1
47,1975,26,5231,9973,52.5,59256,433,4.3,533,5.3,6.7,5.1,12.7,162.8,65.8,907,7339,8.3,5.45,4
48,1974,26,5041,9609,52.5,55781,376,3.9,500,5.2,6.5,4.9,12.4,153.2,64.2,819,6610,7.9,5.35,3.9
49,1973,26,4603,8845,52,51298,378,4.3,470,5.3,6.6,5,12.6,140.9,64.9,860,6711,8.9,5.29,3.9
50,1972,26,4659,9011,51.7,55355,404,4.5,480,5.3,6.8,5.3,13.2,152.1,66.3,761,6070,7.8,5.66,4.3
51,1971,26,4788,9412,50.9,56682,389,4.1,544,5.8,6.7,4.9,13.2,155.7,62.2,768,6571,7.5,5.57,3.9
52,1970,26,5008,9796,51.1,58745,427,4.4,510,5.2,6.7,5.3,13.2,161.4,65.6,872,7159,8.2,5.51,4.2
53,1969,16,3340,6345,52.6,39755,323,5.1,311,4.9,7,5.8,13.3,177.5,71.6,561,4569,8.1,5.76,4.7
54,1968,16,3093,5997,51.6,37751,307,5.1,327,5.5,7,5.6,13.6,168.5,68.7,544,4344,8.3,5.77,4.5
55,1967,16,3292,6451,51,40219,324,5,366,5.7,6.9,5.4,13.6,179.5,66.6,549,4582,7.8,5.75,4.3
56,1966,15,3149,6108,51.6,37436,280,4.6,318,5.2,6.9,5.5,13.4,178.3,67.4,591,4789,8.8,5.59,4.3
57,1965,14,2774,5407,51.3,36028,307,5.7,277,5.1,7.5,6.3,14.5,183.8,73.5,522,4321,8.8,6.08,5
58,1964,14,2794,5437,51.4,34034,278,5.1,262,4.8,7.2,6,13.9,173.6,71.7,601,4880,10,5.64,4.6
59,1963,14,2791,5415,51.5,36406,302,5.6,302,5.6,7.5,6.1,14.6,185.7,71.7,505,4340,8.5,6.15,4.9
60,1962,14,2854,5356,53.3,37987,300,5.6,325,6.1,7.9,6.2,14.7,193.8,72.6,509,4070,8.7,6.48,5
61,1961,14,2759,5292,52.1,35373,285,5.4,332,6.3,7.5,5.7,14.3,180.5,68.5,528,4218,9.1,6.08,4.5
62,1960,13,2064,4114,50.2,26618,221,5.4,274,6.7,7.2,5.3,14.4,170.6,64.2,392,3135,8.7,5.91,4.2
63,1959,12,1858,3714,50,24452,197,5.3,221,6,7.2,5.6,14.5,169.8,66.9,308,2470,7.7,6.08,4.6
64,1958,12,1953,3951,49.4,25972,211,5.3,243,6.2,7.2,5.5,14.5,180.4,65.3,290,2319,6.8,6.12,4.5
65,1957,12,1685,3339,50.5,22092,170,5.1,231,6.9,7.4,5.3,14.7,153.4,63.2,331,2653,9,6.02,4.1
66,1956,12,1656,3282,50.5,21251,162,4.9,240,7.3,7.1,4.8,14,147.6,59.6,250,1991,7.1,6.02,3.9
67,1955,12,1829,3820,47.9,23009,180,4.7,258,6.8,6.6,4.5,13.8,159.8,57.1,285,2276,6.9,5.61,3.7
68,1954,12,2135,4232,50.4,27593,211,5,294,6.9,7.2,5.1,14.2,191.6,61.7,350,2794,7.6,6.02,4.1
69,1953,12,2020,4267,47.3,25025,189,4.4,306,7.2,6.5,4.2,13.8,173.8,53.6,351,2800,7.6,5.42,3.3
70,1952,12,1863,4024,46.3,23033,218,5.4,297,7.4,6.7,4.4,14.4,160,55.7,468,3748,10.4,5.13,3.1
